schoolName,schoolId,yearId,Url,Url1,Url2,state,district,latitude,longitude
"JAWAHAR NAVODAYA VIDYALAYA PATAN, CHANASMA",4233676,12,https://kys.udiseplus.gov.in/#/reportcard/4233676/12,https://kys.udiseplus.gov.in/#/reportcard/4233676/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4233676&yearId=10,GUJARAT,PATAN,23.7737530,71.6798581
"JAWAHAR NAVODAYA VIDYALAYA KUTCH, ABDASA",4254613,12,https://kys.udiseplus.gov.in/#/reportcard/4254613/12,https://kys.udiseplus.gov.in/#/reportcard/4254613/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4254613&yearId=10,GUJARAT,KACHCHH,23.5833330,70.0000000
"JAWAHAR NAVODAYA VIDYALAYA AGAR MALWA, SUSNER",4060743,12,https://kys.udiseplus.gov.in/#/reportcard/4060743/12,https://kys.udiseplus.gov.in/#/reportcard/4060743/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4060743&yearId=10,MADHYA PRADESH,AGAR MALWA,23.9350920,76.1449595
"JAWAHAR NAVODAYA VIDYALAYA JAMNAGAR, ALIABADA ",4252423,12,https://kys.udiseplus.gov.in/#/reportcard/4252423/12,https://kys.udiseplus.gov.in/#/reportcard/4252423/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4252423&yearId=10,GUJARAT,JAMNAGAR,22.4732415,70.0552102
"JAWAHAR NAVODAYA VIDYALAYA KHEDA, KATHLAL ",4231357,12,https://kys.udiseplus.gov.in/#/reportcard/4231357/12,https://kys.udiseplus.gov.in/#/reportcard/4231357/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4231357&yearId=10,GUJARAT,KHEDA,22.8532503,72.9953586
"JAWAHAR NAVODAYA VIDYALAYA GANDHINAGAR, DEHGAM",4236621,12,https://kys.udiseplus.gov.in/#/reportcard/4236621/12,https://kys.udiseplus.gov.in/#/reportcard/4236621/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4236621&yearId=10,GUJARAT,GANDHINAGAR,23.2232877,72.6492267
"JAWAHAR NAVODAYA VIDYALAYA SINGRAULI, WAIDHAN",4060675,12,https://kys.udiseplus.gov.in/#/reportcard/4060675/12,https://kys.udiseplus.gov.in/#/reportcard/4060675/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4060675&yearId=10,MADHYA PRADESH,SINGRAULI,24.2431343,82.3827672
"JAWAHAR NAVODAYA VIDYALAYA ALIRAJPUR, ALIRAJPUR",4052267,12,https://kys.udiseplus.gov.in/#/reportcard/4052267/12,https://kys.udiseplus.gov.in/#/reportcard/4052267/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4052267&yearId=10,MADHYA PRADESH,ALIRAJPUR,22.2859524,74.3545628
"JAWAHAR NAVODAYA VIDYALAYA ANUPPUR, PUSHPARAJGARH",3902846,12,https://kys.udiseplus.gov.in/#/reportcard/3902846/12,https://kys.udiseplus.gov.in/#/reportcard/3902846/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=3902846&yearId=10,MADHYA PRADESH,ANUPPUR,23.0346179,81.7510255
"JAWAHAR NAVODAYA VIDYALAYA BURHANPUR, BURHANPUR",3957438,12,https://kys.udiseplus.gov.in/#/reportcard/3957438/12,https://kys.udiseplus.gov.in/#/reportcard/3957438/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=3957438&yearId=10,MADHYA PRADESH,BURHANPUR,21.3348669,76.3708803
"JAWAHAR NAVODAYA VIDYALAYA RAJKOT, PADDHARI",4212395,12,https://kys.udiseplus.gov.in/#/reportcard/4212395/12,https://kys.udiseplus.gov.in/#/reportcard/4212395/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4212395&yearId=10,GUJARAT,RAJKOT,22.3053263,70.8028377
"JAWAHAR NAVODAYA VIDYALAYA AMRELI, AMRELI",4205809,12,https://kys.udiseplus.gov.in/#/reportcard/4205809/12,https://kys.udiseplus.gov.in/#/reportcard/4205809/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4205809&yearId=10,GUJARAT,AMRELI,21.4176122,71.2496090
"JAWAHAR NAVODAYA VIDYALAYA MEHSANA, VADNAGAR",4237984,12,https://kys.udiseplus.gov.in/#/reportcard/4237984/12,https://kys.udiseplus.gov.in/#/reportcard/4237984/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4237984&yearId=10,GUJARAT,MAHESANA,23.6015557,72.3867981
"JAWAHAR NAVODAYA VIDYALAYA PORBANDAR, RANAVAV ",4224818,12,https://kys.udiseplus.gov.in/#/reportcard/4224818/12,https://kys.udiseplus.gov.in/#/reportcard/4224818/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4224818&yearId=10,GUJARAT,PORBANDAR,21.6409000,69.6110000
"JAWAHAR NAVODAYA VIDYALAYA NARMADA, GARUDESHWAR",4217841,12,https://kys.udiseplus.gov.in/#/reportcard/4217841/12,https://kys.udiseplus.gov.in/#/reportcard/4217841/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4217841&yearId=10,GUJARAT,NARMADA,21.7392624,73.6262458
